,name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
0,Bellevue,Doldrums,Franz Becker,2Djv53hoQWobBuNHkSKpXC,2020-05-08,48,0.332,0.0191,0.222,-29.569,2
1,Sky,Nostalgia,Masaki Kawasaki,1K9UBbr4hJfl9GSL0el09P,2019-08-26,0,0.453,0.0973,0.285,-22.813,2
2,Pour toujours,Pour toujours,Bernadette Boulet,6vkmvL8i9sfIHoAlzJcfAO,2021-01-15,62,0.227,0.0643,0.31,-29.419,2
3,West Virginia,Rites of Passage,Chris Donner,2733cS6pVTBtpTCrf8lbeQ,2020-08-07,40,0.475,0.0123,0.289,-29.586,2
4,supine,hopes,Teodor Wolgers,7IMGJM5S0YYcQhvtdeJH14,2019-11-08,58,0.533,0.0608,0.527,-30.09,2
5,Feel Like April,Feel Like April,Wataru Sato,1cgfxn9YQ0dFQ7MzWwHsQf,2020-05-27,37,0.29,0.251,0.427,-22.438,2
6,Two Dogs,A Quiet House,Tim Tulsa,1Tdur1cMW2Lz1D9nWWEJQ9,2018-02-27,28,0.606,0.0333,0.334,-29.235,2
7,The Endless Winter,The Endless Winter,Sub-City Keys,2X8hpFc05bqx2vkvUw3GhP,2019-02-01,45,0.499,0.01,0.226,-29.61,2
8,Alt jeg tør,Alt jeg tør,Elise Lindahl,6oCUME6tmQJi4LPHogLpUV,2021-01-15,55,0.415,0.00179,0.0782,-33.759,2
9,Can´t Help Smiling,Winter Unflorished,James DiResta,2iVPty0FBstGSURghngIgo,2021-01-22,42,0.293,0.0383,0.109,-32.528,2
10,A Busy Day,Piano 1 (Extended),Robin Bennich,1BIB1xG9pSf8bDX5c2Jo9d,2019-09-06,40,0.138,0.185,0.509,-23.037,2
11,Linger On,Doldrums,Franz Becker,0Uhd2WC2q53YCbZ5NVNYoB,2020-05-08,42,0.466,0.0153,0.258,-30.572,2
12,Heartland,Heartland,Lihua Zhao,0M3DaTZsuttjClg5VG8exA,2021-10-08,57,0.325,0.0762,0.141,-28.507,2
13,Cherry Trees 桜,Cherry Trees 桜,Asuka Eiko,4YNhjGtSnzvyZCo3Gd5GPT,2019-04-26,36,0.569,0.141,0.322,-21.821,2
14,The Garden,The Garden,Vita Menzer,2OaoXYurShXZuFU5hmUva6,2019-05-17,49,0.505,0.0191,0.263,-27.918,2
15,Wonder,Lucid Dreamin' II,Arelius,0LRjR9cx8rJDYTRIHq7rxp,2019-05-27,50,0.224,0.234,0.121,-18.905,2
16,Fugetsu,Fugetsu,Sayuri Hayashi Egnell,5289GXfRrGAs7fAwiVkqzT,2021-10-15,27,0.418,0.102,0.26,-21.265,2
17,Love Is About Daily Leaps,Love Is __ (Music From The Original TV Series),Akira Kosemura,1Ja4NlTHvkVc45El8wpDHC,2020-02-28,27,0.293,0.23,0.24,-22.315,2
18,Fiorire,Ariosa,Carluccio,1nxWCkjlOdwRwyROs99UNv,2021-03-19,59,0.326,0.058,0.179,-26.438,2
19,In The Mood For Dreaming,In The Mood For Dreaming,Andrea Monet,163EpITIjkN1ky0odOKy1b,2020-10-16,51,0.364,0.0107,0.198,-30.661,2
20,Follow The Wind,Follow The Wind,Jett Ingram,5TsrzBIJvEJXoujkVVY6be,2021-05-28,59,0.219,0.0254,0.0397,-29.789,2
21,Bartram's Garden,Bartram's Garden,Zachary Patel,0E97LEEOz5rk6wAJr6rNI3,2020-03-20,52,0.399,0.0653,0.33,-28.599,2
22,Cathedral,As the sun slowly sets,Nicholas Wright,4G622Kla5qjsJlw5bkE20e,2021-04-09,59,0.426,0.0134,0.164,-30.907,2
23,Passion,Passion,Marihiko Hara,6maVLzdqxZgi7h07zU5U0V,2020-03-30,35,0.597,0.0409,0.148,-19.863,2
24,October stroll,October stroll,Jutila,0djBbURQR8Zu4SD4K48lzJ,2019-11-15,43,0.468,0.0282,0.329,-28.772,2
25,For Ruby,The Loop,Dominic Walton,2LEDOIkhBTy39iu4OPE1Qk,2020-04-23,39,0.492,0.0503,0.215,-19.937,2
26,Just Us,Lifeline,Geir Gudmundson,1QQUFiArleFKStW1ttUfoN,2020-05-08,42,0.33,0.0186,0.279,-32.952,2
27,Closure,Sweet Nostalgia,Franz Becker,4pLt09DV3FFjNTLqbxhJcO,2021-01-22,51,0.399,0.0283,0.252,-33.842,2
28,Is it Over,Amuse Bouche,Yao Chen,2CK7J3mSxn2KBfgbDoGcW2,2020-04-24,44,0.435,0.0392,0.232,-28.667,2
29,Moonlight,Moonlight,Milo Edale,3uFDsOUgxcEV2PvBxf9B2Z,2019-08-10,50,0.55,0.0655,0.255,-21.791,2
30,Dimman,Like Home,Jakob Ahlbom,0VCR5yJWXT3FQHuBFPhTm2,2019-11-22,53,0.292,0.0251,0.168,-25.342,2
31,Mid Air,Mid Air,GÅEL,5O3UGMP9XJLbshKKZHsrGN,2019-11-01,60,0.524,0.0338,0.25,-28.584,2
32,Lilou,Lilou,Oscar Melone,1sW8vdY9Q2zzX1cFsRG3rx,2020-09-10,47,0.448,0.00504,0.33,-27.869,2
33,Misérable,Misérable,Bodi Lukasz,1KVKQkKQ6pk8Hai7aKj5nx,2021-05-31,61,0.454,0.0726,0.256,-25.57,2
34,Personne d'autre que toi,Heaven,Patrick Buote,4M7jagkEBHpniJmWdntxNR,2020-05-07,48,0.487,0.0357,0.316,-24.424,2
35,"Tout, sauf mon ombre","Tout, sauf mon ombre",Corrine Chloé,18gxWtwvPc7BtLfcL52K9i,2020-09-18,50,0.322,0.00937,0.234,-32.084,2
36,Forelsket,Forelsket,Idun Vinter,4Oo0RKYm64PZSIbpFmcuK9,2021-01-22,55,0.27,0.0083,0.234,-30.604,2
37,Almost Here,Almost Here,Marta Cascales Alimbau,69hsrgK6UtDli2C17OWO5v,2019-08-30,29,0.252,0.161,0.153,-20.501,2
38,Juniper,Winter Unflorished,James DiResta,1glbxURPMi2PpcD4AmufxL,2021-01-22,60,0.36,0.0345,0.219,-33.26,2
39,Goodnight,Goodnight,Alfredo Evans,2rro7SoKEWIrhUl1xcXOIT,2020-05-15,58,0.49,0.04,0.109,-24.551,2
40,Rigel,Cassiopeia,S.A. Karl,2P0xfFLKKis0QdJV6CUoRN,2019-02-15,40,0.307,0.0146,0.286,-31.32,2
41,Cloud Walk,Folk Dances,Martin Greenbaum,05CKxyJP3ZFRyMkY9idpCZ,2019-08-14,34,0.33,0.0332,0.0583,-29.002,2
42,Days Gone By,Days Gone By,Tiny Rhino,4vDA036RKeQjigYZmANk3Y,2020-12-11,62,0.305,0.0167,0.376,-33.381,2
43,Riotous Land,Riotous Land,Vera Girondas,7AmiLjTfbAHiDXZYjEQO7d,2021-07-16,23,0.723,0.0269,0.517,-26.58,2
44,Time Will Tell,Time Will Tell,Lea Lewis,6G0iS7Lf08bZgjrdV1aRZ2,2021-01-20,53,0.42,0.0452,0.26,-28.208,2
45,Circumstances,Circumstances,Deborah Fulmen,7FyzToHhKG9b9gS19kWg8a,2021-06-25,60,0.453,0.0436,0.198,-25.912,2
46,Sway,Sway,Arabelle,2Ju3X9pULxXmfvWre8o1E4,2020-09-18,47,0.421,0.0366,0.184,-22.565,2
47,Des ponts plutôt que des murs,Des ponts plutôt que des murs,Zdenek Lemelin,2raTq4pOKZfeg2h61gnI0L,2020-05-15,52,0.619,0.0746,0.544,-25.086,2
48,Komorebi,Komorebi,Akira Kosemura,4xoTLNpnhZcWMW8bd92l8o,2020-03-13,38,0.55,0.0376,0.229,-23.386,2
49,Under the Starry Sky,Under the Starry Sky,Daigo Hanada,4wC2AU77U3SdYKKnWKCieK,2019-05-03,0,0.322,0.0305,0.381,-30.996,2
50,You're All I Want,You're All I Want,Cigarettes After Sex,4nvLuqwTOZdEJI1fcHXv8h,2020-05-26,69,0.233,0.471,0.277,-10.947,1
51,Tides,Tides,Bonobo,7rRYiBxeudiHMNmgptnne9,2021-10-20,66,0.6,0.314,0.201,-9.109,1
52,Pink + White,Blonde,Frank Ocean,3xKsf9qdS1CyvXSMEid6g8,2016-08-20,81,0.544,0.552,0.554,-7.45,0
53,I’ll Keep You Safe,I’ll Keep You Safe,Vluestar,3YfNhioGntblm6ciPsCwC9,2018-05-08,73,0.54,0.341,0.283,-10.399,1
54,Water Theme,Winter Flower,Clams Casino,3teH1kAL5KrlUYosdt2nJI,2021-11-17,56,0.295,0.357,0.352,-9.116,1
55,I Need U,I Need U,yaeow,5lbdxt9C6rsELTimTkyMn8,2020-05-28,0,0.402,0.405,0.072,-12.486,1
56,Sunrise,Sunrise,Kevitch,504BrFbtkCK5GG8U0wb2qb,2020-01-01,61,0.609,0.389,0.144,-11.675,1
57,Buzzed,Buzzed,¿Téo?,125DSBjIfOOCkmyRukprZT,2021-06-01,61,0.599,0.484,0.371,-11.866,1
58,idc,idc,Kevitch,0wJLHHZerP72pehv0g4RVq,2021-10-14,56,0.555,0.431,0.0934,-8.87,1
59,homebody,homebody,Kamal.,3I3ZmlSouhOYDHGWn3w0CW,2020-03-04,63,0.762,0.244,0.255,-14.089,1
60,Bolero,Bolero,Bathe,74i9MJfZdRhcv6XnAfwjBA,2021-09-16,56,0.734,0.473,0.471,-10.107,0
61,Rings of Saturn,Apollo 8,Alann8h,6B2smPDLlM2Ms59jSB4pVH,2021-11-19,55,0.521,0.487,0.108,-8.501,1
62,Not Around,Not Around,Nova,1Adhz5VVDZxhojOLfQQUxa,2019-08-04,78,0.499,0.695,0.235,-9.452,1
63,Rain,Rain,Lucy Park,72afDNRJsldkG7R02rRdA1,2020-08-28,60,0.716,0.231,0.231,-14.739,1
64,TECTONIC PLATES,TECTONIC PLATES,Evann McIntosh,5dy9zUa1y7I15hEyC2LSPj,2021-08-25,56,0.428,0.177,0.133,-18.58,2
65,Glass House,Glass House,PawPaw Rod,3JYPpZdVk0USJ3gtSajeV8,2021-05-20,12,0.801,0.391,0.86,-8.063,0
66,Fleur Blanche,Cutworks,Orsten,0vpxHngtbm6hrdQZHsmOMb,2011-01-31,60,0.783,0.402,0.613,-9.56,0
67,Sola,Sola,Nina Cobham,237dlPXLNIsatIRYKRbCWN,2020-03-27,0,0.749,0.383,0.334,-13.404,1
68,The Shaman,The Shaman,Joey Pecoraro,7FzTEzwDcjfxCFlNGkkrAU,2021-11-19,53,0.677,0.46,0.23,-10.749,1
69,Slipping Away,Slipping Away,LEISURE,0BCPHe2assdUDijB5gUuCU,2020-06-26,48,0.707,0.546,0.774,-9.017,0
70,Red Room,Red Room,Hiatus Kaiyote,0aefDhwto2nL2kTHIiil0J,2021-04-27,61,0.687,0.361,0.453,-9.782,1
71,Ride,Ride,HYBS,7fyVBKYJYMP42nNr9RFTAT,2021-10-08,66,0.757,0.393,0.715,-7.942,0
72,Magia,Magia,Monogem,4jMHWmtD14blSqbRhq2gjp,2021-08-26,54,0.574,0.503,0.291,-9.919,1
73,rises the moon,recently,Liana Flores,51Grh1RyUDcMBbpuyUIUHI,2019-04-10,78,0.483,0.129,0.203,-20.149,2
74,4:38am,The Color of Nothing,ford.,1mCS2aMR3hGZV1stAkjLcV,2020-10-16,0,0.754,0.342,0.349,-11.3,1
75,Time Moves Slow,IV,BADBADNOTGOOD,1I40L32fTSSkBkPeArX9Ul,2016-07-08,69,0.619,0.381,0.312,-10.691,1
76,Love and Hate in a Different Time,Love and Hate in a Different Time,Gabriels,5FzrXX7WuiRpKSVVzUtIiB,2021-06-04,59,0.785,0.363,0.604,-9.02,0
77,Yours,Yours,maye,0gmStTUTuiU807EB4KafOX,2021-02-12,61,0.67,0.707,0.799,-9.726,0
78,interested,interested,Nina Cobham,1Ubu0Ux7X3QpsMUYIt3HFT,2021-05-26,57,0.833,0.288,0.23,-11.599,1
79,moonlight,moonlight,dhruv,4d83gRvk3DHU5cWBbyOlSk,2020-02-21,55,0.737,0.5,0.561,-11.229,0
80,Crust,Yasuke,Flying Lotus,3KsS9NkC5ZlPAIWpGoL5Sx,2021-04-30,66,0.676,0.408,0.226,-7.937,1
81,Queen of Paisley,Queen of Paisley,Silas Short,2YwDDVHflNhUKgu70WR7OH,2021-08-04,48,0.662,0.253,0.333,-9.975,1
82,Jazz Club After Hours,Jazz Club After Hours,Barry Can't Swim,0nPoWlU7nIz74B6px39NMz,2021-06-04,57,0.724,0.681,0.439,-10.32,0
83,dreamin',dreamin',53 Thieves,4PlzJVdaRYC9Fg2AqlOxer,2020-02-07,61,0.831,0.419,0.339,-7.381,1
84,Crazy,Crazy,Hope Tala,4P5tPq60W4LLYcoXLgWlYx,2020-10-15,59,0.672,0.503,0.465,-5.141,0
85,It's Over Again,Going Going Gone,Mild High Club,660eXTPUwKkCOYvWIr6sPl,2021-09-17,53,0.655,0.717,0.501,-7.447,0
86,walk but in a garden,walk but in a garden,LLusion,37bzRWttPZDNdJs24NZaUG,2019-06-19,0,0.773,0.403,0.537,-11.617,0
87,12:34 AM,12:34 AM,Billy Lemos,16iNVfWKKZPDjctIcd0KMn,2017-06-27,66,0.711,0.473,0.32,-11.971,1
88,Garfield's Starfield,Garfield's Starfield,Recess Radio,0sCyvGDXenmkGZdcwdamQl,2021-08-07,51,0.848,0.447,0.863,-7.587,0
89,No Trouble,Drugstore Heaven,Houses,2cd4QBg7XpGuSxq0yVHK2j,2021-04-02,51,0.527,0.354,0.242,-14.037,1
90,Sleep Away,Sleep Away,Pastel,0yI8QQG8rKIYMMdIUJsllk,2021-11-12,47,0.616,0.204,0.471,-16.436,1
91,But There's Still the Moon,But There's Still the Moon,Tasha,0tA5pH2uW1fKCQ44khDie8,2020-04-16,0,0.662,0.36,0.271,-11.924,1
92,Løb Stop Stå,Mellem Dine Læber,Boom Clap Bachelors,3wyLILirr6oFIFw1vYuktv,2020-08-07,53,0.493,0.335,0.279,-13.986,1
93,peppermint,peppermint,lavender,1YjEwY8FrctMA4MX0RkdRx,2020-07-10,56,0.564,0.379,0.564,-7.732,0
94,Automatic - Orion Sun Remix,Automatic (Orion Sun Remix),Spencer.,3IQ6PPDCEJBRFiqUCWeyI0,2021-04-27,57,0.647,0.459,0.261,-13.058,1
95,Wish I Was Better,Wish I Was Better,Kina,1kAkUHFb7ryeVkVSRD6Nkj,2020-04-10,69,0.732,0.304,0.185,-13.086,1
96,Sun is going down,Sun is going down,HIMI,362Ev5LFc9zje3MhnzugOZ,2021-02-06,25,0.497,0.266,0.149,-12.67,1
97,I Leave Again,I Leave Again,Petit Biscuit,5QI8TzL0eOULZSwsr1FJzu,2020-05-20,0,0.755,0.614,0.148,-9.481,1
98,Jersey City,Jersey City,Golden Vessel,7CsfpYeYnweWfSbQrEaZag,2021-09-22,52,0.71,0.549,0.415,-9.841,0
99,3Hands / Divine Hand I,Rare Pleasure,Mndsgn,6HA8GGGDkEzJH1OWU5mRGg,2021-06-04,1,0.275,0.545,0.0837,-9.78,1
100,Tetris People,Tetris People EP,rAHHH,51sZWHGW1PXyATnMsHxE78,2021-11-05,46,0.841,0.472,0.742,-6.941,0
101,Dreams,WHEN WE'RE FAR APART I FALL APART,Abby Holliday,17TX3VpcIYnjHLTFbXE9zO,2021-07-16,50,0.365,0.346,0.281,-12.907,1
102,Lost Cause,Lost Cause,Billie Eilish,2xdwCJLfKCkat14mlgR26M,2021-06-02,40,0.671,0.336,0.518,-8.494,1
103,do you come here often?,do you come here often?,Nina Cobham,0ShHM5WuJOUCexBXVi52My,2020-11-25,52,0.774,0.425,0.348,-11.925,1
104,Ocean,Ocean,Brijean,7tqLWumGlP0N0ouyj49WLk,2021-01-14,19,0.69,0.694,0.811,-9.431,0
105,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,4ZLzoOkj0MPWrTLvooIuaa,2018-10-08,83,0.498,0.235,0.0895,-16.541,1
106,Larabar,Larabar,Wet,5wNVNjLNMX0jhefWFOqgT2,2021-08-04,55,0.491,0.318,0.152,-10.057,1
107,The Most Beautiful Thing,The Most Beautiful Thing,Bruno Major,7EncNzyGs8uJiQittB38ef,2020-05-01,0,0.806,0.362,0.42,-10.381,1
108,"Simple, Sweet, and Smiling","Simple, Sweet, and Smiling",Kacy Hill,2uKrEaRWif9zGGZpwtkAfh,2021-10-15,50,0.599,0.749,0.413,-8.038,0
109,everything's worth it,everything's worth it,iogi,01N0x8m4P4SUren7NBYxQl,2021-03-10,54,0.853,0.396,0.72,-10.39,0
110,alien jewelry,isolation,John The Blind,33pTrKPiYyP4F49jCgjNio,2021-01-12,49,0.453,0.541,0.219,-10.664,1
111,Movement,Movement,Isaac Lewis,3myTDuQpybTyyOaqd4k1hH,2021-05-12,49,0.468,0.107,0.217,-16.976,2
112,All I C Is U,Hunny,Nate Traveller,2x4NzWn2QKMfnkwZzrQrd5,2020-10-16,51,0.445,0.212,0.0939,-14.313,1
113,city,city,Zachary Knowles,7ezWFPZxTDiQMl7NlAXdkR,2020-07-10,54,0.781,0.666,0.561,-5.547,0
114,no song without you,no song without you,HONNE,3KKUf8F2hktFscLgbH4YwR,2020-06-12,62,0.778,0.462,0.817,-12.729,0
115,Sometimes (Backwood),Sometimes (Backwood),gigi,5ysFFsqJFcsX8Rez67j2tv,2021-02-15,71,0.41,0.174,0.0694,-11.405,1
116,Muse,Muse (You Inspire Me),Afro Nostalgia,7mtYsNBYTDPa8Mscf166hg,2018-07-16,51,0.879,0.315,0.246,-13.052,1
117,I Want You Back,I Want You Back,wwoman,45IhSIsQkvmCZ2V0yxEazY,2020-11-20,50,0.861,0.388,0.491,-11.728,0
118,When Will I Learn,When Will I Learn,Tora,2ScZesPRtAwvZvajHgxDdQ,2021-05-27,43,0.671,0.399,0.187,-11.571,1
119,something to live for,something to live for,kerri,0iQPej6D7P8i2lWlulqH2T,2020-08-07,49,0.58,0.34,0.347,-14.906,1
120,My Mind Is a Maze,Dumb Daze,Alann8h,2P4qoMmSqElFcI7GYaPLwf,2020-05-14,57,0.85,0.223,0.468,-11.46,1
121,Your Imagination (feat. Jaden),Your Imagination (feat. Jaden),Babe Rainbow,2EHQk2I0PFsu1zMa8eHeBB,2021-03-24,52,0.433,0.347,0.298,-9.553,1
122,STAND STILL,STAND STILL,Bensbeendead.,6C54NvHWrSBZ5hQJTGH5RN,2020-09-30,49,0.629,0.355,0.27,-6.253,1
123,3am,3am,Jaspa,2uWaQb9xq100a2QHDWQyRI,2020-04-17,51,0.565,0.44,0.229,-10.009,1
124,cloud castle,jams EP,Luna Li,3gyIcFToYNdOJycgMShtb2,2021-02-05,51,0.556,0.563,0.349,-6.731,1
125,Keep You Warm,This Empty Town,Jaguar Sun,4GjWZDfWw5ZnW9vmioJwY0,2020-07-24,53,0.527,0.555,0.18,-11.346,1
126,Kingston,Atlanta Millionaires Club,Faye Webster,0EDQwboQDmswDRn58wcslg,2019-05-24,33,0.729,0.344,0.543,-9.541,0
127,Always Afternoon,Always Afternoon,Medasin,6GMaQmdpwGolGyuW6ZJ9X9,2019-05-10,61,0.598,0.357,0.168,-12.104,1
128,Loving You Is a Mountain,Three,Isaia Huron,4tqZET1gHOGWY6UbHv6qWf,2020-01-03,0,0.426,0.484,0.0384,-7.772,1
129,Opiate,Opiate,Puma Blue,1iXho1Srl0akpZSSHfOFvP,2020-11-17,52,0.868,0.334,0.356,-8.81,1
130,Rise,R I S E,WILLOW,0gxVuBfUu1TbmFyJZwK6X0,2020-11-20,56,0.321,0.317,0.129,-12.921,1
131,Stuck in the Sky,Stuck in the Sky,María Isabel,0PZdvrkdzVpIyVCL7KLR2r,2020-10-16,51,0.395,0.344,0.0814,-10.529,1
132,Même Langue (feat. MUNYA),Early Hours,Bearcubs,1cbzgAaPgE3iL3diqC2zzh,2020-05-15,0,0.791,0.7,0.47,-9.286,0
133,ACOUSCOUS,ACOUSCOUS,emawk,64lmE7hixqSVxMsk5nvG8e,2021-02-27,55,0.427,0.371,0.354,-11.405,1
134,Tell Me,Tell Me,w00ds,0ndV1KbJuiFxPuZ4cJZZi8,2020-12-11,50,0.675,0.414,0.27,-12.641,1
135,Doors To Kick (feat. BOYFRN),Doors To Kick (feat. BOYFRN),Bobby Freemont,304031hRDCZEAIItiKxSol,2021-05-20,48,0.67,0.319,0.253,-8.569,1
136,Montara,Montara,HNNY,49VM3vCQBFr1wJJw7xByGf,2020-04-17,56,0.772,0.655,0.621,-11.531,0
137,Cotton Candy,Cotton Candy,Weston Estate,2UvMgTm9y3lStOyQE2yxKA,2019-05-24,56,0.606,0.275,0.19,-10.004,1
138,Stay Where You Are,Stay Where You Are,Yuna,1hCss2zjMPOdWFbr5Ryf3F,2020-05-15,0,0.569,0.339,0.121,-8.661,1
139,James,Typical of Me,Laufey,3yQmQSliq7uJhJet0YGmeX,2021-04-30,53,0.5,0.372,0.371,-9.906,1
140,Like a Bird,New Daze,Bay Ledges,3FUfo6bZ81aI5rBRfid4ge,2020-08-21,7,0.836,0.768,0.971,-8.418,0
141,Beautiful,Beautiful,Rhye,0UldHegZYf4q7bYDSGBZhq,2020-05-08,56,0.817,0.306,0.402,-11.959,1
142,Disappear,Die 4 Ur Love,Tei Shi,3l2Tof2jle63mkRXF8MH89,2020-07-17,49,0.826,0.624,0.894,-8.386,0
143,High (Remix),High (Remix),fika,32R9F2G42rDjgkZg3k5ecx,2020-04-23,50,0.502,0.513,0.102,-11.95,1
144,that's us,that's us,Golden Vessel,1anxX1NLxxdIjVzomBJK45,2020-09-23,54,0.795,0.404,0.539,-8.616,0
145,you and the everything of everything,you and the everything of everything,RⱯHM ⚉,1Y8F8VNZ3Ij0MaD8PcpGpW,2021-01-29,48,0.635,0.448,0.239,-9.106,1
146,Beauty Fades,Beauty Fades / Answer,Alex Siegel,6lUG5VrmhGESNj8xKMg4hP,2020-05-29,49,0.733,0.528,0.623,-6.368,0
147,RADIO SILENCE,GARDENING,Bensbeendead.,2XnKHgfNOJOMj2B7u5qiD4,2020-10-14,47,0.543,0.552,0.464,-7.88,0
148,What if,What if,HIMI,2nQSYKTUonp2v4HjMeZz0e,2021-03-26,47,0.413,0.275,0.175,-12.391,1
149,Like Summer,Like Summer / Nothing Beyond,Kyan,3innRzfJF3RMcZbXv6It28,2018-05-25,51,0.605,0.425,0.376,-11.586,1
150,Nothing,To Let A Good Thing Die,Bruno Major,2IAR0DziHCjSu16gR4ihvy,2020-06-05,85,0.555,0.27,0.274,-15.892,1
151,this is what falling in love feels like,this is what falling in love feels like,JVKE,4UG2Fm0E98LhE2dlNxiAXx,2021-09-03,80,0.424,0.438,0.325,-5.53,1
152,Daylight,Daylight,Joji,6Ed1q0X8oSKSm4IIhiQbYg,2020-08-06,74,0.528,0.749,0.729,-7.571,0
153,Falling For You with Justin Bieber,CTV3: Cool Tape Vol. 3,Jaden,24MWSatP5sTylISvJONhnB,2020-08-28,65,0.69,0.541,0.787,-9.259,0
154,Space Makes Me Sad,Space Makes Me Sad,Fiji Blue,4CdAmV6qgACPWHxjCrf7fp,2019-06-13,48,0.556,0.431,0.596,-10.254,0
155,Moon,Donda,Kanye West,2Rd4eJ4KwXQQn2sMSToyUM,2021-08-29,66,0.319,0.236,0.254,-9.644,1
156,Nothing's the Same,Nothing's the Same,Alexander 23,3NllHdYknM2F6UxxGevXWc,2020-12-11,0,0.735,0.32,0.401,-11.32,1
157,this is how you fall in love,this is how you fall in love,Jeremy Zucker,0742PcMPo2Akmo4vHC29VZ,2021-01-15,7,0.52,0.204,0.274,-12.488,1
158,Till Forever Falls Apart,Till Forever Falls Apart,Ashe,2769RhOZs0ezRncRW1vryp,2021-03-02,74,0.509,0.498,0.283,-6.94,1
159,Astronomy,Astronomy,Conan Gray,0KmgJyW4GDgonqsoyx0CZ3,2021-05-07,78,0.471,0.335,0.111,-8.767,1
160,Painkiller,Painkiller,Ruel,1abFkY2jm6KDFMZ7RD9YJh,2019-04-30,63,0.675,0.414,0.439,-6.508,1
161,AM I DREAMING (feat. Miley Cyrus),MONTERO,Lil Nas X,6isTQfKXhNO3EyJd9mSxx8,2021-09-17,75,0.629,0.445,0.209,-6.999,1
162,hungover sunday,hungover sunday,Christian French,3jGlOBjMJiNDWhdqRJl5dK,2019-07-12,61,0.673,0.327,0.449,-7.67,1
163,cowboy in LA,cowboy in LA,LANY,0E6uWutxRjIDhleURR92do,2020-09-16,1,0.624,0.393,0.728,-8.916,0
164,Brainstorm,Brainstorm,Alexander 23,3VcFoOwKYurSedLtz9nFJC,2020-10-09,0,0.658,0.317,0.262,-12.318,1
165,Put Your Records On,Put Your Records On,Ritt Momney,1fah1uAs7HeTYDlNftKr3K,2020-04-24,1,0.399,0.492,0.159,-10.777,1
166,Cry with you,Cry with you,Jeremy Zucker,0hqJxaNkPQ3sPm1tvfPlAe,2021-08-20,66,0.51,0.307,0.356,-9.921,1
