,name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
167,Coffee,Coffee,Quinn XCII,1VbClJ27jcsMNmOxHnXlKV,2020-05-01,0,0.831,0.452,0.534,-5.111,0
168,What They'll Say About Us,What They'll Say About Us,FINNEAS,27Y1N4Q4U3EfDU5Ubw8ws2,2020-09-02,51,0.535,0.314,0.0663,-12.823,1
169,Heat Waves,Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f,2020-06-29,90,0.761,0.525,0.531,-6.9,0
170,Good Days,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,2020-12-25,86,0.436,0.655,0.412,-8.37,0
171,"always, i'll care","always, i’ll care",Jeremy Zucker,1LdS1ULS9e18oW3M2C1MUj,2020-02-07,27,0.784,0.278,0.741,-10.745,0
172,nobody else,mama's boy,LANY,7GLBqDKAJLCLIsj2GEDkSw,2020-10-02,61,0.569,0.291,0.313,-14.509,1
173,Feels (feat. Khalid),Feels (feat. Khalid),WATTS,6LZ9FO9UsGIcTKbShnfNsG,2021-03-12,68,0.548,0.35,0.0802,-12.52,1
174,Smokin Out The Window,Smokin Out The Window,Bruno Mars,4iN16F8JtVxG2UTzp3avGl,2021-11-05,91,0.627,0.618,0.848,-8.529,0
175,Six Feet Apart,Six Feet Apart,Alec Benjamin,22AJMMJMaQ3qtTwlegrKcm,2020-04-09,64,0.492,0.378,0.497,-7.117,1
176,I Like It When You Love Me,Home Tapes,Oh Wonder,6UiS2IW9dEZwC6TluY5zSy,2020-05-01,2,0.481,0.432,0.194,-11.982,1
177,right here,right here,keshi,2xnNgKhyMl9MxBmRNGnBJP,2019-09-24,31,0.619,0.445,0.35,-10.332,1
178,airplane thoughts,airplane thoughts,dhruv,6LyNmMNe5Xomr3MFL6dS7n,2021-09-28,58,0.677,0.454,0.273,-8.555,1
179,i don't want to watch the world end with someone else,i don't want to watch the world end with someone else,Clinton Kane,58qX77t2VWMWcycsh9zKLc,2020-05-08,74,0.535,0.359,0.488,-9.343,1
180,colorblind,colorblind,Mokita,3IpYb4BekvsgmZKwI2ZDu0,2019-11-01,1,0.661,0.772,0.186,-5.054,0
181,dancing in the kitchen,dancing in the kitchen,LANY,0ohcCrxZkBfFbkuRPOZQZX,2021-06-25,74,0.619,0.736,0.299,-7.651,0
182,IDK You Yet,IDK You Yet,Alexander 23,47EWMOElkkbMp5m9SBkx7d,2020-04-09,5,0.629,0.306,0.191,-11.735,1
183,Back To My Bed,Back To My Bed,Elderbrook,0NHBjddjKTkJQvEb5oTilt,2020-09-16,64,0.771,0.729,0.689,-7.554,0
184,Fake,Fake,Lauv,4Gt2kh3QbAGU6yquOWn4aW,2020-10-13,74,0.703,0.657,0.455,-5.363,0
185,Your Power,Your Power,Billie Eilish,5qNh5WtzMbfpSj2jLlBkoD,2021-04-29,40,0.634,0.285,0.203,-14.007,1
186,"Hey Stupid, I Love You","Hey Stupid, I Love You",JP Saxe,5inDa3sWj8zqJBOdj7Bjqc,2020-06-25,70,0.758,0.594,0.869,-9.63,0
187,CHICKEN TENDIES,CHICKEN TENDIES,Clinton Kane,0awuNCj9gwJEM0seER22DW,2021-02-19,79,0.57,0.689,0.568,-6.242,0
188,17,17,Pink Sweat$,034KyQEk7IhbLtniVhBErj,2020-02-28,68,0.558,0.364,0.252,-8.663,1
189,Heather,Kid Krow,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,89,0.357,0.425,0.27,-7.301,1
190,Tattoos Together,~how i'm feeling~,Lauv,1Srt81FTalOhRw7t7l8Yh8,2020-03-06,70,0.862,0.4,0.596,-7.486,0
191,the author,the author,Luz,54fT5TBqwmJKn6NmJR5VKe,2020-09-18,43,0.354,0.264,0.227,-12.571,1
192,Ordinary People,Ordinary People,Blake Rose,0FrHyYxj92dg4qIu8BO30l,2020-06-26,64,0.363,0.12,0.176,-11.662,1
193,ghost town (voice memo),ghost town (voice memo),Chloe George,0PKAijroHpnEtdY20bkGdr,2021-03-30,72,0.471,0.229,0.358,-6.504,1
194,New Normal,New Normal,Khalid,2CIYemjFXdmCWpJnfbtrD6,2021-07-21,74,0.39,0.534,0.244,-9.575,1
195,Hell N Back,Hell N Back,Bakar,3NRql0A1Ef4RCvT473iqgD,2019-08-15,76,0.584,0.684,0.72,-4.314,0
196,Better,Better,ZAYN,1dLXLETYiZohIZWnse4ypG,2020-09-25,67,0.637,0.418,0.0807,-7.137,1
197,6 months,6 months,John K,195DDl4riXguLriXMSU0Gg,2020-02-21,1,0.66,0.581,0.329,-6.056,0
198,Love Like That,~how i'm feeling~ (the extras),Lauv,2tSDwInMbSGmUySTeUgO5e,2019-12-19,0,0.679,0.481,0.486,-9.045,0
199,Young & Alive,Young & Alive,Bazzi,5RsKelNxucrDxgMbZ3vd3W,2020-03-05,71,0.716,0.563,0.495,-5.486,0
200,Oh My God,Oh My God,Alec Benjamin,2U12JbtnFSYa5Av5wEcEDX,2020-02-13,2,0.696,0.565,0.599,-7.237,0
201,willow,evermore,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,2020-12-11,82,0.392,0.574,0.529,-9.195,0
202,Gone,Gone,Blake Rose,6sHxpnCerm9M6A5zaFFNfs,2020-02-07,69,0.317,0.545,0.14,-6.439,1
203,Honey,Honey,The Motel Brothers,78x5EmgSFz6SJV8x2Q8hqx,2019-08-30,54,0.703,0.313,0.424,-10.399,1
204,Vibez,Vibez,ZAYN,709F3MwiVvLD0LQXeKs5Cz,2021-01-08,68,0.635,0.659,0.34,-7.499,0
205,Moral of the Story (feat. Niall Horan),Moral of the Story (feat. Niall Horan),Ashe,2NWVdwbd2hPIzC2lyf4y63,2020-06-17,71,0.599,0.374,0.224,-8.896,1
206,fools (can't help falling in love) (feat. Sody),fools (can't help falling in love) (feat. Sody),Foster,4VEEDnEFLI9dUy5QA51rom,2020-11-13,73,0.706,0.604,0.361,-6.932,0
207,Male Fantasy,Happier Than Ever,Billie Eilish,4ak9GGe6afmi2HbxEjvhIC,2021-07-30,77,0.687,0.288,0.308,-10.415,1
208,Dear August,Dear August,PJ Harding,16gW9O8A4rIMx5OOVlzsSn,2021-02-12,70,0.643,0.324,0.444,-7.817,1
209,Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,0.567,0.267,0.0592,-6.502,1
210,Meant To Be,Meant To Be,Ber,136J2Jkg8sG7P5wilO9P1R,2021-10-06,71,0.5,0.156,0.405,-11.472,1
211,r u ok,r u ok,Tate McRae,7rq1zCf90CnU7OalBLIgNp,2020-12-10,72,0.666,0.593,0.329,-5.905,0
212,Hope Is A Heartache,LÉON,LÉON,3w1P8nwsVi9vxrGvxYLzAC,2019-03-01,69,0.468,0.495,0.235,-6.634,1
213,July (feat. Leon Bridges),July (feat. Leon Bridges),Noah Cyrus,3V0nnQhqvbE3JmiDdnzQFQ,2019-11-08,75,0.708,0.211,0.362,-9.603,1
214,Life's A Mess II (with Clever & Post Malone),Life’s A Mess II (with Clever & Post Malone),Juice WRLD,4O3RwH1TFG1EjPezLIYehI,2021-03-05,74,0.53,0.37,0.701,-9.989,0
215,First Times,=,Ed Sheeran,5QYnNhTKsN3kE7OaqILA1U,2021-10-29,81,0.587,0.267,0.352,-9.206,1
216,Lost Cause,Lost Cause,Billie Eilish,2xdwCJLfKCkat14mlgR26M,2021-06-02,40,0.671,0.336,0.518,-8.494,1
217,Paper Planes,Paper Planes,Elina,5GzgEC6pWf1USZsCtkG8yC,2020-03-13,69,0.529,0.351,0.529,-12.484,1
218,Like No One Does,Like No One Does,Jake Scott,2HnfqILzgKt1CepTlU4oqq,2020-04-03,66,0.8,0.41,0.442,-12.734,0
219,Things You Can't Change,In Between Minds,Rhys Lewis,4PBz2XQqKs9KICMO69iaiH,2019-04-26,62,0.757,0.381,0.527,-7.573,0
220,Destroy Myself Just For You,Destroy Myself Just For You,Montell Fish,7vMDFGBs0CTEkENk2dyCnc,2021-11-26,70,0.52,0.189,0.226,-15.437,1
221,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,4IQkfUsrwXol38VV3U7t7T,2021-11-12,85,0.61,0.488,0.443,-6.918,0
222,Feelings,Feelings,Lauv,0y675KDleCZEudjoeL1sQQ,2019-09-19,4,0.694,0.466,0.246,-6.758,1
223,Friend,minor,Gracie Abrams,6fGSHpEipD1YjtLLChnBzW,2020-07-14,65,0.7,0.494,0.229,-4.908,1
224,In a Stranger's Arms,In a Stranger's Arms,LÉON,5Tl8bvgo5shLODXiT9ckva,2020-02-07,0,0.517,0.435,0.335,-7.532,1
225,Finally // beautiful stranger,Finally // beautiful stranger,Halsey,5YvcUK2eXJ2OllqDuEg18S,2019-12-06,65,0.626,0.55,0.123,-5.105,1
226,Remember That Night?,Remember That Night?,Sara Kays,1nYzjrdVQ8RpF93M0jPFW7,2020-11-06,80,0.679,0.61,0.554,-10.936,0
227,Grey,The Good Times and The Bad Ones,Why Don't We,2J4DpqJCIuuM9WjtWHbjvd,2021-01-15,69,0.298,0.295,0.199,-8.789,1
228,Lovely,Lovely,Fly By Midnight,3zjw3EZfvgjuR4AQhVlNq7,2019-11-15,62,0.548,0.715,0.393,-6.798,0
229,Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,6N22FZs2ZhPBYi3b9XPajV,2019-10-04,81,0.316,0.63,0.313,-5.963,1
230,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,748mdHapucXQri7IAO8yFK,2021-04-09,91,0.762,0.701,0.742,-3.541,0
231,if we never met,if we never met,John K,5HBDBBr5OV90lubqW8ctJF,2019-04-26,71,0.958,0.376,0.331,-7.063,0
232,Changes,~how i'm feeling~,Lauv,3vUc9WQpoca15404jNdzf9,2020-01-02,0,0.532,0.455,0.204,-8.366,1
233,Cold,Cold,Boy In Space,5jYe1mOKg5zUx0enf1DOdz,2019-08-08,70,0.711,0.412,0.186,-6.827,1
234,Line By Line (feat. Maren Morris),Line By Line (feat. Maren Morris),JP Saxe,2gA74HvN6NKFrhgzpd5oNE,2021-01-13,68,0.645,0.486,0.453,-7.299,0
235,For Tonight,For Tonight,Giveon,61Emqg95O9zo1GNOcyxq4Y,2021-09-24,83,0.442,0.517,0.2,-7.807,1
236,Hard On Yourself,Hard On Yourself,Charlie Puth,3xvYvJAa0iUVKKsYcuDNlK,2020-08-14,0,0.824,0.783,0.788,-4.53,0
237,Strange,Not Your Muse (Deluxe),Celeste,7sq2z9oX2S0CvgTqCZ0ko4,2021-01-29,77,0.286,0.0847,0.112,-9.883,1
238,Best Days,In The Meantime,Alessia Cara,3z1DnGBH2uhlDekJr0YVzQ,2021-09-24,68,0.518,0.318,0.227,-11.727,1
239,What A Time (feat. Niall Horan),Inner Monologue Part 1,Julia Michaels,5WtfUKzXircvW8l5aaVZWT,2019-01-24,85,0.516,0.467,0.386,-6.184,1
240,if i were u (with Lauv),if i were u (with Lauv),blackbear,0CF1RH8dQKuK2lQPSQw2lZ,2020-08-19,30,0.666,0.628,0.767,-5.613,0
241,Wild Life,Wild Life,OneRepublic,6oaQuXiRKqQq9ITJBV1XmC,2020-09-25,63,0.498,0.764,0.0557,-8.096,1
242,I Believe,Happiness Begins,Jonas Brothers,1vYh9x8UmFTLbXiizk9Qc5,2019-06-07,63,0.749,0.774,0.35,-6.221,0
243,smiling when i die,smiling when i die,Sasha Alex Sloan,7yCyhsU75MYdbeqRLhLY51,2019-09-20,60,0.753,0.41,0.23,-10.636,1
244,drivers license,drivers license,Olivia Rodrigo,7lPN2DXiMsVn7XUKtOW1CS,2021-01-08,38,0.585,0.436,0.132,-8.761,1
245,Mystery Lady (feat. Don Toliver),Mystery Lady (feat. Don Toliver),Masego,2Ee9amLUslOwgoJWZEpSSD,2020-11-10,72,0.747,0.494,0.624,-7.957,0
246,Lights Are On,Z-Sides,Tom Rosenthal,4IhTXiZLKATmwhMZIb1GQN,2018-10-26,82,0.44,0.04,0.249,-16.887,2
247,I Hate U,I Hate U,SZA,5dXWFMwD7I7zXsInONVl0H,2021-12-03,87,0.535,0.388,0.412,-9.805,1
248,It'll Be Okay,It'll Be Okay,Shawn Mendes,2KnLkZ3z7PO3kgVGHGqDpD,2021-12-01,84,0.398,0.286,0.0666,-11.881,1
249,working,working,Tate McRae,31sSFHIe4NaxltVFOEIcTa,2021-06-17,77,0.783,0.435,0.512,-7.78,0
250,Golden,Fine Line,Harry Styles,45S5WTQEGOB1VHr1Q4FuPl,2019-12-13,85,0.448,0.838,0.254,-5.257,0
251,deja vu,SOUR,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,2021-05-21,90,0.442,0.612,0.178,-7.222,1
252,Heather,Kid Krow,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,89,0.357,0.425,0.27,-7.301,1
253,comethru,"summer,",Jeremy Zucker,18uwL0vNUanqZH0ro2QcOP,2018-09-28,81,0.795,0.178,0.608,-11.991,1
254,willow,evermore,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,2020-12-11,82,0.392,0.574,0.529,-9.195,0
255,Hey There Delilah - Bonus Track,Every Second Counts,Plain White T's,3DWOTqMQGp5q75fnVsWwaN,2006,62,0.522,0.453,0.306,-7.859,1
256,Circles,Hollywood's Bleeding,Post Malone,21jGcNKet2qwijlDFuPiPb,2019-09-06,88,0.695,0.762,0.553,-3.497,0
257,THATS WHAT I WANT,MONTERO,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,2021-09-17,94,0.737,0.846,0.546,-4.51,0
258,3 Nights,"Don't Forget About Me, Demos",Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,2018-10-16,78,0.815,0.518,0.877,-6.594,0
259,Hold On,Hold On,Justin Bieber,4u4NyuceXP7Uzh7XFJKCr1,2021-03-05,82,0.658,0.634,0.29,-5.797,0
260,Adore You,Fine Line,Harry Styles,3jjujdWJ72nww5eGnfs2E7,2019-12-13,86,0.676,0.771,0.569,-3.675,0
261,Chasing Pavements,19,Adele,2OuNgtXKeCSORKqdl0MxKk,2008-01-28,2,0.614,0.47,0.329,-6.09,1
262,Dancing in the Moonlight,Onka's Big Moka,Toploader,3Fzlg5r1IjhLk2qRw667od,2000,77,0.632,0.856,0.867,-3.463,0
263,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,0RiRZpuVRbi7oqRdSMwhQY,2019-09-06,82,0.755,0.522,0.925,-4.368,0
264,Fireflies,Ocean Eyes,Owl City,3DamFFqW32WihKkTVlwTYQ,2009-01-01,81,0.512,0.662,0.472,-6.797,0
265,drivers license,SOUR,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,2021-05-21,92,0.561,0.431,0.137,-8.81,1
266,YOUTH,Blue Neighbourhood (Deluxe),Troye Sivan,0nhBKubnVz9yFNNprBniWz,2015-12-09,73,0.628,0.737,0.592,-4.437,0
267,Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,0.567,0.267,0.0592,-6.502,1
268,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2021-04-23,92,0.65,0.825,0.593,-4.645,0
269,Anyone,Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,2021-01-01,81,0.686,0.538,0.584,-8.026,0
270,Young Dumb & Broke,American Teen,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27,82,0.799,0.539,0.394,-6.351,0
271,Uptown Girl,An Innocent Man,Billy Joel,5zA8vzDGqPl2AzZkEYQGKh,1983-08-08,79,0.701,0.944,0.792,-2.986,0
272,Watermelon Sugar,Fine Line,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,90,0.548,0.816,0.557,-4.209,0
273,There She Goes,The La's,The La's,4c6vZqYHFur11FbWATIJ9P,1990,70,0.533,0.761,0.917,-10.632,0
274,If the World Was Ending (feat. Julia Michaels),Dangerous Levels of Introspection,JP Saxe,77MdvMx9L4ZQuLhhn3o21h,2021-06-25,74,0.429,0.486,0.661,-9.971,0
275,This Town,Flicker (Deluxe),Niall Horan,0qvzXomUDJVaUboy2wMfiS,2017-10-20,80,0.677,0.401,0.195,-8.467,1
276,i'm so tired...,~how i'm feeling~,Lauv,4vjpLMyL3ZO6aphdYr8XYw,2020-03-06,79,0.599,0.733,0.534,-7.058,0
277,I'm Still Standing,Too Low For Zero,Elton John,1jDJFeK9x3OZboIAHsY9k2,1983-05-30,82,0.504,0.904,0.772,-6.863,0
278,Better,Suncity,Khalid,6zeeWid2sgw4lap2jV61PZ,2018-10-18,79,0.596,0.552,0.112,-10.278,1
279,Somebody That I Used To Know,Somebody That I Used To Know,Gotye,13b3kZAjZGltp76ed4u1m3,2011-01-01,61,0.863,0.527,0.674,-6.896,0
280,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,Marshmello,4qu63nuBpdn0qHUHuObEj1,2021-05-21,88,0.721,0.738,0.637,-4.77,0
281,In Your Eyes,After Hours,The Weeknd,7szuecWAPwGoV1e5vGu8tl,2020-03-20,83,0.667,0.719,0.717,-5.371,0
282,Wildest Dreams,1989,Taylor Swift,59HjlYCeBsxdI0fcm3zglw,2014-10-27,75,0.553,0.664,0.467,-7.417,0
283,September,"The Essential Earth, Wind & Fire","Earth, Wind & Fire",3wpLkju0bJy89kjgdRys0j,2014-03-25,63,0.694,0.831,0.98,-7.288,0
284,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,27OeeYzk6klgBh83TSvGMA,2020-11-06,86,0.662,0.413,0.467,-7.357,0
285,Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,59dLtGBS26x7kc0rHbaPrq,2010-04-27,76,0.688,0.853,0.743,-5.814,0
286,Dancing Queen,Arrival,ABBA,0GjEhVFGZW8afUYGChu3Rr,1976,82,0.543,0.87,0.754,-6.514,0
287,Don't Go Breaking My Heart,Rock Of The Westies,Elton John,7HW5WIw7ZgZORCzUxv5gW5,1975-10-24,79,0.729,0.844,0.777,-8.824,0
288,Like I Can,In The Lonely Hour,Sam Smith,2TeLIzFBe3hxkPR5FIQZut,2014-05-26,86,0.656,0.627,0.481,-6.627,0
289,Drops of Jupiter (Tell Me),Drops Of Jupiter,Train,2hKdd3qO7cWr2Jo0Bcs0MA,2001-03-27,80,0.481,0.638,0.497,-5.862,0
290,She Looks So Perfect,5 Seconds Of Summer,5 Seconds of Summer,1CQ2cMfrmFM1YdfmjENKVE,2014-06-27,74,0.494,0.951,0.441,-4.237,0
291,Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,6fRxMU4LWwyaSSowV441IU,2021-03-03,38,0.713,0.676,0.721,-5.483,0
292,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,1mea3bSkSGXuIRvnydlB5b,2008-05-26,81,0.486,0.617,0.417,-7.115,0
293,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,4HBZA5flZLE435QTztThqH,2020-05-08,86,0.597,0.45,0.537,-6.658,0
294,Jealous,Jealous - EP,Labrinth,4G92yYrUs0cvY7G41YRI0z,2014-11-23,80,0.439,0.153,0.104,-8.95,1
295,Blinding Lights,After Hours,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,93,0.514,0.73,0.334,-5.934,0
296,We Are Young (feat. Janelle Monáe),Some Nights,fun.,5rgy6ghBq1eRApCkeUdJXf,2012-02-14,78,0.378,0.638,0.735,-5.576,0
297,Easier,CALM,5 Seconds of Summer,2bjUEg4jBtKBlPdNrTAppI,2020-03-27,72,0.562,0.46,0.623,-4.173,0
298,The Man Who Can't Be Moved,The Script,The Script,4AFwnrH5atiJoAd5xS5QtR,2008-07-14,67,0.605,0.629,0.308,-5.051,0
299,Love Story,Fearless,Taylor Swift,1vrd6UOGamcKNGnSHJQlSt,2008-11-11,71,0.618,0.741,0.296,-3.95,0
300,lovely (with Khalid),lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,2018-04-19,89,0.351,0.296,0.12,-10.109,1
301,This Love,Songs About Jane,Maroon 5,5zF2zGPkL6Ipsn9AfAK6RP,2002-06-25,0,0.714,0.868,0.78,-4.596,0
302,"Hey, Soul Sister","Hey, Soul Sister",Train,0KpfYajJVVGgQ32Dby7e9i,2009-08-06,1,0.675,0.885,0.768,-4.432,0
303,How to Save a Life,How To Save A Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,2005-09-13,82,0.64,0.743,0.361,-4.08,0
304,Lose Somebody,Golden Hour,Kygo,1sgDyuLooyvEML4oHspNza,2020-05-29,77,0.58,0.586,0.507,-6.883,0
305,You & I,Midnight Memories (Deluxe),One Direction,2afCBiru10AFckfOa49wIa,2013-11-25,79,0.574,0.329,0.356,-6.829,1
306,She Will Be Loved,Songs About Jane,Maroon 5,5s5t0OFg9lIlBFaCI14K1i,2002-06-25,1,0.524,0.711,0.539,-5.494,0
307,Silence,Silence,Marshmello,7vGuf3Y35N4wmASOKLUVVU,2017-08-11,82,0.52,0.761,0.286,-3.093,0
308,When We Were Young,25,Adele,6O5TrlFWTYvznd9fMC0VvU,2015-11-20,85,0.376,0.595,0.265,-5.936,1
309,Iris,Dizzy up the Girl,The Goo Goo Dolls,6Qyc6fS4DsZjB2mRW9DsQs,1998-09-11,81,0.315,0.715,0.497,-8.072,0
310,I'm Yours,I'm Yours,Jason Mraz,03yc0G2OoH1Eeyu7Piy8fK,2008-02-12,63,0.689,0.432,0.747,-9.394,0
311,Best Day Of My Life,"Oh, What A Life",American Authors,5Hroj5K7vLpIG4FNCRIjbP,2014-01-01,80,0.673,0.902,0.538,-2.392,0
312,Crocodile Rock,Don't Shoot Me I'm Only The Piano Player,Elton John,6WCeFNVAXUtNczb7lqLiZU,1973-01-22,73,0.621,0.8,0.968,-7.284,0
313,Wonderwall,(What's the Story) Morning Glory?,Oasis,3UNAMgNHKl0fWzbZaU0fDM,1995-10-02,1,0.404,0.852,0.482,-5.591,0
314,The Bones,GIRL,Maren Morris,3npzogdOEiVsieXmmhBepL,2019-03-08,5,0.612,0.57,0.335,-6.642,0
315,Forget You,The Lady Killer (Deluxe),CeeLo Green,3MeL7vAsVbgSrGFd0HioaJ,2010-11-09,59,0.696,0.875,0.772,-3.682,0
316,Payphone,Overexposed Track By Track,Maroon 5,1XGmzt0PVuFgQYYnV2It7A,2012-01-01,84,0.743,0.752,0.545,-4.813,0
317,Be Kind (with Halsey),Be Kind (with Halsey),Marshmello,3Z8FwOEN59mRMxDCtb8N0A,2020-05-01,81,0.63,0.633,0.452,-7.088,0
318,Love Really Hurts Without You,Billy Ocean (Expanded Edition),Billy Ocean,4GhtDORJiSRYxj6M1bv0vX,1976-01-05,71,0.518,0.907,0.961,-3.732,0
319,Some Nights,Some Nights,fun.,6t6oULCRS6hnI7rm0h5gwl,2012-02-21,72,0.672,0.738,0.392,-7.045,0
320,Teenage Dream,Teenage Dream,Katy Perry,235LXPXfi0SmOaS9TaCh3c,2010-08-24,69,0.719,0.798,0.591,-4.582,0
321,Dynamite,BE,BTS,4saklk6nie3yiGePpBwUoc,2020-11-20,88,0.746,0.765,0.737,-4.41,0
322,"10,000 Hours (with Justin Bieber)",Good Things,Dan + Shay,4j5ffIFh7bFT7GZciP1TCy,2021-08-13,71,0.654,0.63,0.43,-4.644,0
323,Grace Kelly,Life In Cartoon Motion,MIKA,2SDx0PooHZI1SQKR0y44bs,2006-01-01,73,0.675,0.828,0.669,-5.799,0
324,Little Lies,Tango In The Night,Fleetwood Mac,5uw9UIOXj6R8pOwXte8F5h,1987-04-13,1,0.63,0.688,0.893,-9.816,0
325,Maps,V,Maroon 5,4gbVRS8gloEluzf0GzDOFc,2014-09-02,83,0.742,0.713,0.879,-5.522,0
326,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,2019-05-17,83,0.736,0.308,0.361,-7.83,1
